date,day as a number,Case management and quarantine-Isolation of case-Not applicable,International travel-Border screening-PCR/rapid antigen testing,Physical distancing-Closure of educational institutions-Secondary School,International travel-Quarantine for international travellers-Not applicable,Hygiene and safety measure-Other-Not applicable,Hygiene and safety measure-Protective mask use community-Closed public spaces,Physical distancing-Public gathering restriction-Ban on all events,Physical distancing-Public gathering restriction-Outdoor over 50,Case management and quarantine-Contact tracing-Mobile technology,Case management and quarantine-Contact tracing-Not applicable,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Closure of public spaces-Gyms sports centres,Physical distancing-Closure of public spaces-Non essential shops,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Stay at home orders-Not applicable,Physical distancing-Closure of educational institutions-Daycare nursery,Physical distancing-Closure of educational institutions-Primary School,Internal travel-Travel restrictions-Other,Internal travel-Other-Not applicable,Hygiene and safety measure-Protective mask use community-All public spaces,General-Activate incident emergency management system-Not applicable,Physical distancing-Closure of educational institutions-Other,International travel-Travel advice-Not applicable,International travel-Total border closure-Not applicable,Case management and quarantine-Quarantine-For contacts,Physical distancing-Workplace measures-Teleworking,Physical distancing-Closure of public spaces-Restaurants cafes,Hygiene and safety measure-Protective mask use community-Other,General-Exemptions to NPIs-Vaccination proof,Physical distancing-Public gathering restriction-Outdoor over 1000,Physical distancing-Public gathering restriction-Indoor over 1000,General-Communication to the public-Not applicable,General-Intersectoral communication-Not applicable,General-Communication to healthcare services-Not applicable,Physical distancing-Stay at home recommendations-Not applicable,Physical distancing-Closure of educational institutions-Higher Education,Physical distancing-Closure of public spaces-Place of worship,Physical distancing-Public gathering restriction-Other,Ensuring treatment capacity-Non COVID related care-Rescheduling non essential care,International travel-Border screening-Other,Physical distancing-Workplace measures-Closure of workplaces,Internal travel-Travel advice-Not applicable,International travel-Other-Not applicable
2020-04-04,34,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,2
2020-04-05,35,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,2
2020-04-06,36,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,2
2020-04-07,37,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,2
2020-04-08,38,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,2
2020-04-09,39,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,2
2020-04-10,40,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,2
2020-04-11,41,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,2
2020-04-12,42,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,2
2020-04-13,43,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,2
2020-04-14,44,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,2
2020-04-15,45,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,2
2020-04-16,46,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-04-17,47,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-04-18,48,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-04-19,49,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-04-20,50,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-04-21,51,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-04-22,52,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-04-23,53,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-04-24,54,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-04-25,55,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-04-26,56,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-04-27,57,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-04-28,58,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-04-29,59,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-04-30,60,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-05-01,61,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-05-02,62,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-05-03,63,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-05-04,64,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-05-05,65,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-05-06,66,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-05-07,67,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-05-08,68,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-05-09,69,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-05-10,70,2,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,0,0,1,0,0,0,2,2,2,0
2020-05-11,71,2,0,1,0,0,1,0,0,0,2,2,2,0,2,2,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,2,2,2,2,0
2020-05-12,72,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,2,2,0,2,0
2020-05-13,73,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-14,74,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-15,75,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-16,76,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-17,77,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
