date,day as a number,Case management and quarantine-Isolation of case-Not applicable,International travel-Border screening-PCR/rapid antigen testing,Physical distancing-Closure of educational institutions-Secondary School,International travel-Quarantine for international travellers-Not applicable,Hygiene and safety measure-Other-Not applicable,Hygiene and safety measure-Protective mask use community-Closed public spaces,Physical distancing-Public gathering restriction-Ban on all events,Physical distancing-Public gathering restriction-Outdoor over 50,Case management and quarantine-Contact tracing-Mobile technology,Case management and quarantine-Contact tracing-Not applicable,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Closure of public spaces-Gyms sports centres,Physical distancing-Closure of public spaces-Non essential shops,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Stay at home orders-Not applicable,Physical distancing-Closure of educational institutions-Daycare nursery,Physical distancing-Closure of educational institutions-Primary School,Internal travel-Travel restrictions-Other,Internal travel-Other-Not applicable,Hygiene and safety measure-Protective mask use community-All public spaces,General-Activate incident emergency management system-Not applicable,Physical distancing-Closure of educational institutions-Other,International travel-Travel advice-Not applicable,International travel-Total border closure-Not applicable,Case management and quarantine-Quarantine-For contacts,Physical distancing-Workplace measures-Teleworking,Physical distancing-Closure of public spaces-Restaurants cafes,Hygiene and safety measure-Protective mask use community-Other,General-Exemptions to NPIs-Vaccination proof,Physical distancing-Public gathering restriction-Outdoor over 1000,Physical distancing-Public gathering restriction-Indoor over 1000,General-Communication to the public-Not applicable,General-Intersectoral communication-Not applicable,General-Communication to healthcare services-Not applicable,Physical distancing-Stay at home recommendations-Not applicable,Physical distancing-Closure of educational institutions-Higher Education,Physical distancing-Closure of public spaces-Place of worship,Physical distancing-Public gathering restriction-Other,Ensuring treatment capacity-Non COVID related care-Rescheduling non essential care,International travel-Border screening-Other,Physical distancing-Workplace measures-Closure of workplaces,Internal travel-Travel advice-Not applicable,International travel-Other-Not applicable
2020-05-18,78,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-19,79,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-20,80,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-21,81,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-22,82,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-23,83,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-24,84,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-25,85,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-26,86,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-27,87,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-28,88,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-29,89,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-30,90,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-05-31,91,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-06-01,92,2,0,1,0,0,1,0,0,0,2,2,2,0,2,1,2,0,0,0,2,2,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-06-02,93,2,0,1,0,0,1,0,0,0,2,1,2,0,2,1,1,0,0,0,2,2,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,2,0,2,0
2020-06-03,94,2,0,1,0,0,1,0,0,0,2,1,2,0,2,0,1,0,0,0,2,2,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0
2020-06-04,95,2,0,1,0,0,1,0,0,0,2,1,2,0,2,0,1,0,0,0,2,2,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0
2020-06-05,96,2,0,1,0,0,1,0,0,0,2,1,2,0,2,0,1,0,0,0,2,2,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0
2020-06-06,97,2,0,1,0,0,1,0,0,0,2,1,2,0,2,0,1,0,0,0,2,2,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0
2020-06-07,98,2,0,1,0,0,1,0,0,0,2,1,2,0,2,0,1,0,0,0,2,2,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0
2020-06-08,99,2,0,1,0,0,1,0,0,0,2,1,2,0,2,0,1,0,0,0,2,2,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0
2020-06-09,100,2,0,1,0,0,1,0,0,0,2,1,2,0,2,0,1,0,0,0,2,2,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0
2020-06-10,101,2,0,1,0,0,1,0,0,0,2,1,2,0,2,0,1,0,0,0,2,2,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0
2020-06-11,102,2,0,1,0,0,1,0,0,0,2,1,2,0,2,0,1,0,0,0,2,2,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0
2020-06-12,103,2,0,1,0,0,1,0,0,0,2,1,2,0,2,0,1,0,0,0,2,2,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0
2020-06-13,104,2,0,1,0,0,1,0,0,0,2,1,2,0,2,0,1,0,0,0,2,2,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0
2020-06-14,105,2,0,1,0,0,1,0,0,0,2,1,2,0,2,0,1,0,0,0,2,2,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0
2020-06-15,106,2,0,1,0,0,1,0,0,0,2,1,2,0,2,0,1,0,0,0,2,2,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0
2020-06-16,107,2,0,1,0,0,1,0,0,0,2,1,2,0,0,0,1,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0
