date,day as a number,Physical distancing-Measures for special populations-Visiting restrictions,Case management and quarantine-Quarantine-For contacts,Case management and quarantine-Isolation of case-Not applicable,Case management and quarantine-Contact tracing-Not applicable,International travel-Travel advice-Not applicable,International travel-Total border closure-Not applicable,International travel-Quarantine for international travellers-Not applicable,International travel-Border screening-PCR/rapid antigen testing,International travel-Ban for certain countries-Not applicable,Physical distancing-Closure of educational institutions-Secondary School,Hygiene and safety measure-Protective mask use community-All public spaces,General-Exemptions to NPIs-Vaccination proof,General-Exemptions to NPIs-Negative test proof,General-Exemptions to NPIs-Antibodies proof,Physical distancing-Public gathering restriction-Ban on all events,Physical distancing-Closure of public spaces-Non essential shops,Physical distancing-Closure of public spaces-Restaurants cafes,Hygiene and safety measure-Protective mask use community-Other,Physical distancing-Closure of public spaces-Gyms sports centres,Physical distancing-Closure of educational institutions-Primary School,Physical distancing-Closure of educational institutions-Other,Physical distancing-Closure of educational institutions-Daycare nursery,Physical distancing-Workplace measures-Teleworking,Hygiene and safety measure-Other-Not applicable,Ensuring treatment capacity-COVID related care-Not applicable,Ensuring treatment capacity-Non COVID related care-Rescheduling non essential care,Ensuring treatment capacity-COVID related care-ICU capacity,General-Activate incident emergency management system-Not applicable,Physical distancing-Public gathering restriction-Outdoor over 500,Physical distancing-Public gathering restriction-Indoor over 500,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Private gathering restriction-Social Circle,Physical distancing-Closure of public spaces-Place of worship,Physical distancing-Stay at home recommendations-Not applicable,Physical distancing-Stay at home orders-Not applicable,Physical distancing-Public gathering restriction-Outdoor over 100,Physical distancing-Public gathering restriction-Outdoor over 50,Physical distancing-Public gathering restriction-Indoor over 1000,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Closure of educational institutions-Higher Education,Internal travel-Travel restrictions-Other,Physical distancing-Public gathering restriction-Indoor over 50,Physical distancing-Public gathering restriction-Other,General-Communication to the public-Not applicable,Ensuring treatment capacity-COVID related care-Other,Ensuring treatment capacity-COVID related care-Increase PPE stocks
2020-03-22,21,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-03-23,22,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,2
2020-03-24,23,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,2
2020-03-25,24,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-03-26,25,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-03-27,26,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-03-28,27,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-03-29,28,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-03-30,29,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-03-31,30,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-01,31,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-02,32,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-03,33,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-04,34,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-05,35,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-06,36,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-07,37,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-08,38,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-09,39,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-10,40,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-11,41,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-12,42,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,2,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-13,43,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,2,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-14,44,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-15,45,1,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-16,46,1,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-17,47,1,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-18,48,1,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-19,49,1,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-20,50,1,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-21,51,1,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-22,52,1,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-23,53,1,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-24,54,1,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-25,55,1,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-26,56,1,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
2020-04-27,57,1,0,2,0,2,2,0,0,2,2,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0
