date,day as a number,Physical distancing-Measures for special populations-Other,Case management and quarantine-Quarantine-For contacts,Case management and quarantine-Isolation of case-Not applicable,Case management and quarantine-Contact tracing-Other,International travel-Total border closure-Not applicable,International travel-Quarantine for international travellers-Not applicable,International travel-Border screening-PCR/rapid antigen testing,International travel-Case reporting aboard conveyances-Not applicable,Physical distancing-Closure of educational institutions-Secondary School,Hygiene and safety measure-Protective mask use community-Closed public spaces,Physical distancing-Public gathering restriction-Ban on all events,Physical distancing-Public gathering restriction-Indoor over 100,Physical distancing-Public gathering restriction-Outdoor over 1000,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Closure of public spaces-Gyms sports centres,Physical distancing-Closure of public spaces-Restaurants cafes,Physical distancing-Closure of public spaces-Non essential shops,Physical distancing-Closure of educational institutions-Primary School,Physical distancing-Closure of educational institutions-Daycare nursery,Physical distancing-Stay at home orders-Not applicable,Internal travel-Travel restrictions-Other,Internal travel-Travel restrictions-Cordon sanitaire,General-Exemptions to NPIs-Vaccination proof,Physical distancing-Closure of public transport-Not applicable,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Closure of public spaces-Place of worship,Ensuring treatment capacity-COVID related care-Other,Physical distancing-Workplace measures-Teleworking,Physical distancing-Public gathering restriction-Other,Physical distancing-Measures for special populations-Visiting restrictions,Physical distancing-Workplace measures-Adaptation of workplace,Physical distancing-Measures for special populations-Stay at home risk groups,Physical distancing-Stay at home recommendations-Not applicable,Physical distancing-Closure of public spaces-Hotels other accommodation,Physical distancing-Closure of educational institutions-Higher Education,Physical distancing-Private gathering restriction-Social Circle,Physical distancing-Closure of educational institutions-Other,Hygiene and safety measure-Protective mask use community-Other,Hygiene and safety measure-Protective mask use community-All public spaces,Case management and quarantine-Contact tracing-Mobile technology,Hygiene and safety measure-Other-Not applicable,Physical distancing-Public gathering restriction-Outdoor over 500,General-Activate incident emergency management system-Not applicable,Physical distancing-Public gathering restriction-Indoor over 1000,Physical distancing-Public gathering restriction-Not applicable,Physical distancing-Public gathering restriction-Indoor over 500,Physical distancing-Public gathering restriction-Outdoor over 100,Physical distancing-Public gathering restriction-Indoor over 50,General-General other-Not applicable,General-Communication to the public-Not applicable,General-Intersectoral communication-Not applicable,General-Risk assessment-Not applicable,Internal travel-Quarantine for internal travellers-Not applicable,Physical distancing-Public gathering restriction-Outdoor over 50
2020-03-18,17,2,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2020-03-19,18,2,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,19,2,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,20,2,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,21,2,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,22,2,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,23,2,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,24,2,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,25,2,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,26,0,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,27,0,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,28,0,0,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2020-03-30,29,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2020-03-31,30,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2020-04-01,31,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2020-04-02,32,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,33,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,34,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,35,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,36,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,37,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,38,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,39,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,40,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,41,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,42,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-13,43,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-14,44,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-15,45,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-16,46,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-17,47,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-18,48,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-19,49,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,50,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-21,51,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-22,52,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-23,53,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-24,54,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-25,55,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-26,56,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-27,57,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-28,58,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-29,59,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-30,60,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,61,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-02,62,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,63,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,64,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-05,65,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,66,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,67,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,68,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,69,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,70,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,71,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,72,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,73,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-14,74,0,2,2,2,2,0,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-15,75,0,2,2,2,2,2,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,76,0,2,2,2,2,2,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,77,0,2,2,2,2,2,0,2,2,2,2,0,0,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,78,0,2,2,2,2,2,0,2,2,2,0,1,1,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,79,0,2,2,2,2,2,0,2,2,2,0,1,1,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,80,0,2,2,2,2,2,0,2,2,2,0,1,1,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,81,0,2,2,2,2,2,0,2,2,0,0,1,1,2,1,2,2,2,2,1,0,2,0,1,0,1,2,1,0,1,0,0,0,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,82,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,0,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,83,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,0,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,84,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,0,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,85,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,1,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,86,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,1,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,87,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,1,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,88,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,1,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,89,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,1,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-30,90,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,1,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,91,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,1,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,92,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,93,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,94,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,95,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,96,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,97,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,98,0,2,2,2,2,2,0,2,2,0,0,1,1,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
