date,day as a number,International travel-Travel advice-Not applicable,International travel-Total border closure-Not applicable,International travel-Other-Not applicable,International travel-Border screening-PCR/rapid antigen testing,Case management and quarantine-Protective measures HCW-Not applicable,Case management and quarantine-Other-Not applicable,Physical distancing-Other-Not applicable,Case management and quarantine-Isolation of case-Not applicable,Physical distancing-Workplace measures-Teleworking,General-Exemptions to NPIs-Antibodies proof,General-Exemptions to NPIs-Negative test proof,General-Exemptions to NPIs-Vaccination proof,Case management and quarantine-Quarantine-For contacts,Case management and quarantine-Contact tracing-Mobile technology,International travel-Quarantine for international travellers-Not applicable,Physical distancing-Measures for special populations-Visiting restrictions,Physical distancing-Measures for special populations-Other,Physical distancing-Workplace measures-Closure of workplaces,Physical distancing-Workplace measures-Adaptation of workplace,Physical distancing-Public gathering restriction-Ban on all events,Physical distancing-Closure of public spaces-Other,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Closure of public spaces-Gyms sports centres,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Closure of educational institutions-Primary School,Physical distancing-Closure of educational institutions-Daycare nursery,Physical distancing-Closure of educational institutions-Secondary School,Physical distancing-Closure of public spaces-Non essential shops,Hygiene and safety measure-Protective mask use community-Closed public spaces,General-Activate incident emergency management system-Not applicable,General-Risk assessment-Not applicable,Ensuring treatment capacity-Non COVID related care-Rescheduling non essential care,Ensuring treatment capacity-Non COVID related care-Other,Ensuring treatment capacity-COVID related care-ICU capacity,Internal travel-Travel advice-Not applicable,Hygiene and safety measure-Protective mask use community-Other,Physical distancing-Stay at home recommendations-Not applicable,Physical distancing-Closure of public spaces-Restaurants cafes,Hygiene and safety measure-Protective mask use community-All public spaces,Physical distancing-Closure of educational institutions-Higher Education,Physical distancing-Public gathering restriction-Outdoor over 1000,Physical distancing-Public gathering restriction-Indoor over 1000,Physical distancing-Public gathering restriction-Indoor over 100,Case management and quarantine-Contact tracing-Other,Physical distancing-Public gathering restriction-Outdoor over 100,General-Communication to the public-Not applicable,Ensuring treatment capacity-COVID related care-Other,Physical distancing-Closure of public transport-Not applicable,Physical distancing-Stay at home orders-Not applicable,General-Exemptions to NPIs-Other,Ensuring treatment capacity-Other-Not applicable,Hygiene and safety measure-Other-Not applicable,General-General other-Not applicable,Hygiene and safety measure-Disinfection disinfestation and deratting DDD-Not applicable,Physical distancing-Public gathering restriction-Other,General-Communication to healthcare services-Not applicable,Physical distancing-Public gathering restriction-Indoor over 50,Physical distancing-Public gathering restriction-Outdoor over 50,Ensuring treatment capacity-COVID related care-Increase PPE stocks,Physical distancing-Public gathering restriction-Outdoor over 500,Physical distancing-Closure of public spaces-Place of worship,Physical distancing-Measures for special populations-Stay at home risk groups
2020-03-14,13,2,1,0,0,0,2,0,2,2,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2020-03-15,14,2,1,0,0,0,2,0,2,2,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,2,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2020-03-16,15,2,1,0,0,0,2,0,2,2,0,0,0,2,0,2,2,1,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,2,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,2
2020-03-17,16,2,1,2,0,0,2,0,2,2,0,0,0,2,0,2,2,1,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,2,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,2
2020-03-18,17,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2020-03-19,18,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2020-03-20,19,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2020-03-21,20,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,2,2,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,2
2020-03-22,21,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,2,2,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,2
2020-03-23,22,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,2,2,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-03-24,23,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,0,2,0,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-03-25,24,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-03-26,25,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-03-27,26,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-03-28,27,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-03-29,28,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-03-30,29,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-03-31,30,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-04-01,31,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-04-02,32,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-04-03,33,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-04-04,34,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-04-05,35,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-04-06,36,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-04-07,37,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-04-08,38,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-04-09,39,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-04-10,40,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-04-11,41,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-12,42,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-13,43,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-14,44,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-15,45,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-16,46,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-17,47,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-18,48,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-19,49,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-20,50,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-21,51,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-22,52,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-23,53,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-24,54,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-25,55,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-26,56,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-27,57,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-28,58,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-29,59,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,2,2,2,0,2,1,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-04-30,60,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,2,2,2,0,2,1,2,2,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,2,0,2,2
2020-05-01,61,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,2,2,2,0,2,1,2,2,2,2,0,0,0,0,1,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-02,62,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,2,2,2,0,2,1,2,2,2,2,0,0,0,0,1,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-03,63,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,2,2,2,0,2,1,2,2,2,2,0,0,0,0,1,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-04,64,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,2,2,2,0,2,1,2,2,2,2,0,0,0,0,1,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-05,65,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,2,2,2,0,2,1,2,2,2,2,0,0,0,0,1,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-06,66,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,2,2,2,0,2,1,2,2,2,2,0,0,0,0,1,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-07,67,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,2,2,2,0,2,1,2,2,2,2,0,0,0,0,1,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-08,68,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,2,2,2,0,2,1,2,2,2,2,0,0,0,0,1,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-09,69,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,2,2,2,0,2,1,2,2,2,2,0,0,0,0,1,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-10,70,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,2,2,2,0,2,1,2,2,2,2,0,0,0,0,1,0,2,0,0,2,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-11,71,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,0,2,2,0,2,1,2,1,1,2,0,0,0,0,1,0,2,0,0,1,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-12,72,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,0,2,2,0,2,1,2,1,1,2,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-13,73,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,0,2,2,0,2,1,2,1,1,2,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-14,74,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,0,2,2,0,2,1,2,1,1,2,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-15,75,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,0,2,2,0,2,1,2,1,1,2,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-16,76,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,0,2,2,0,2,1,2,1,1,2,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-17,77,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,0,2,2,0,2,1,2,1,1,2,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-18,78,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,0,2,2,0,2,1,2,1,1,2,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-19,79,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,0,2,2,0,2,1,2,1,1,2,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-20,80,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,0,2,2,0,2,1,2,1,1,2,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-21,81,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,0,2,2,0,2,1,2,1,1,2,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-22,82,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,0,2,2,0,2,1,2,1,1,2,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
2020-05-23,83,2,1,2,0,2,2,0,2,2,0,0,0,2,0,2,1,2,0,2,2,0,2,1,2,1,1,2,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2
