"date","age_groups","mean_contacts","lower_95_ci","median_contacts","upper_95_ci"
2020-03-01,"0-18 to 0-18",-0.312396460071088,-12.7610980574011,-0.304441980948989,12.1346073910455
2020-03-02,"0-18 to 0-18",-0.417567994044765,-12.5524131363949,-0.392000861058812,11.6603176547129
2020-03-03,"0-18 to 0-18",-0.429927086698054,-12.8441644667254,-0.419919928030165,12.1009806766056
2020-03-04,"0-18 to 0-18",-0.378585777848072,-12.7985648996487,-0.339068517976135,12.0349972409027
2020-03-05,"0-18 to 0-18",-0.356481055235298,-12.5408571891421,-0.382691335137495,11.7473881992926
2020-03-06,"0-18 to 0-18",0.297617199547209,-11.4918627379849,0.299502700932063,11.9682406100856
2020-03-07,"0-18 to 0-18",0.262195757170634,-11.5096061172721,0.261796379136654,12.2372377956219
2020-03-08,"0-18 to 0-18",0.327956297215794,-11.4296756790171,0.377740319595229,12.2018683902368
2020-03-09,"0-18 to 0-18",0.379009913793386,-11.4286573229492,0.452331683405897,12.015571634741
2020-03-10,"0-18 to 0-18",0.306803630785201,-11.6617745663576,0.251257002571811,12.241208693397
2020-03-11,"0-18 to 0-18",0.342430519021745,-11.4188894333987,0.294469843214625,12.11470803633
2020-03-12,"0-18 to 0-18",1.42698540211763,-9.68287203483847,1.43637144793963,12.5491260543595
2020-03-13,"0-18 to 0-18",1.39794778402469,-9.92517955072292,1.51607687017227,12.3660676366062
2020-03-14,"0-18 to 0-18",1.46619214478967,-9.72338008160297,1.49248102078739,12.4759011563681
2020-03-15,"0-18 to 0-18",1.46871104643716,-9.54364101964018,1.47506411637504,12.600718537112
2020-03-16,"0-18 to 0-18",1.68812054884437,-13.0455077280555,1.71428703579589,16.2792989174201
2020-03-17,"0-18 to 0-18",1.66755456731323,-13.1841380962274,1.6950097510037,16.6420298080197
2020-03-18,"0-18 to 0-18",1.75064956249018,-12.988803505522,1.7986268647328,16.5126624355919
2020-03-19,"0-18 to 0-18",2.11270758696463,-12.5985272008453,2.12591698188584,16.851862801553
2020-03-20,"0-18 to 0-18",1.91495935174697,-12.6767209796261,1.88269935772942,16.7519171511696
2020-03-21,"0-18 to 0-18",1.89944872796424,-12.8652426579612,1.87754785604883,16.5030855458263
2020-03-22,"0-18 to 0-18",1.90003158243835,-12.6211102347555,1.87293733540425,16.5483639663538
2020-03-23,"0-18 to 0-18",2.03690475379571,-12.3785521230815,2.09619690146557,16.5450731877743
2020-03-24,"0-18 to 0-18",1.2832037530953,-13.6559377328152,1.27421728393691,16.3018067561637
2020-03-25,"0-18 to 0-18",1.31071147406223,-13.666082953128,1.26788716446596,16.0462558785019
2020-03-26,"0-18 to 0-18",1.3736666019986,-13.737276780594,1.45783637141405,16.3277878523493
2020-03-27,"0-18 to 0-18",1.32979308136127,-13.5764289074017,1.33825180848982,16.2471997511169
2020-03-28,"0-18 to 0-18",1.34505393174185,-13.5975577474256,1.30198190737327,16.3515590098062
2020-03-29,"0-18 to 0-18",1.29899129152714,-13.6594628388238,1.30158599237908,16.2911662012845
2020-03-30,"0-18 to 0-18",1.37301450505359,-13.7045851132358,1.41948929711695,16.4060214462205
2020-03-31,"0-18 to 0-18",1.36581538625932,-13.7488233996461,1.43009844606313,16.158304667773
2020-04-01,"0-18 to 0-18",1.311281492234,-13.6335070457622,1.3211533228479,16.3500346378477
2020-04-02,"0-18 to 0-18",1.23169356780932,-13.6209787662579,1.12512442147807,16.4194810871222
2020-04-03,"0-18 to 0-18",1.32768376412547,-13.5837969305426,1.28064570730103,16.2009368510985
2020-04-04,"0-18 to 0-18",1.90818195641333,-13.3387945361339,1.94572326879025,17.1673886896209
2020-04-05,"0-18 to 0-18",1.96120309725284,-13.0630067517741,1.88029474480086,16.8979301271305
2020-04-06,"0-18 to 0-18",1.95180276426522,-13.1204530497827,1.87021466322969,17.0697958368625
2020-04-07,"0-18 to 0-18",1.95840696782222,-13.0190398577371,1.90569957246133,16.9992215807295
2020-04-08,"0-18 to 0-18",1.95774842371295,-13.0785712443825,2.04102541531848,17.04453431449
2020-04-09,"0-18 to 0-18",1.98651199129152,-13.1792592342343,1.91986943613553,17.2488430624184
2020-04-10,"0-18 to 0-18",1.90281901368903,-13.2311743854618,1.93664663175058,16.9256895461381
2020-04-11,"0-18 to 0-18",1.97954794431433,-12.8211037525425,1.98083979469446,17.0643973352547
2020-04-12,"0-18 to 0-18",1.88820671574046,-12.8691305600894,1.80113835385014,17.010789980816
2020-04-13,"0-18 to 0-18",1.96956676423459,-13.0396130402769,1.98521080104389,17.0118924159138
2020-04-14,"0-18 to 0-18",1.89147222624933,-13.0115924246127,1.88415691332853,17.2028570407245
2020-04-15,"0-18 to 0-18",2.02969501374146,-13.1515533313481,1.98661750265574,17.1541954346971
2020-04-16,"0-18 to 0-18",1.92867270669129,-13.110566509146,1.92994297118568,17.1960141121586
2020-04-17,"0-18 to 0-18",1.95103533234058,-13.1369869155818,1.87211198616888,16.9980056415816
2020-04-18,"0-18 to 0-18",1.86683322610809,-13.0398939219147,1.75273622242117,17.0200916605119
2020-04-19,"0-18 to 0-18",1.94677426513239,-12.8867282014099,1.90453272483814,16.9200453061445
2020-04-20,"0-18 to 0-18",2.00567712013608,-13.1613297522647,1.96626736886295,17.3424692402232
2020-04-21,"0-18 to 0-18",1.92386222117962,-13.0117498575705,1.95416838208495,17.0537212441484
2020-04-22,"0-18 to 0-18",2.87921015199185,-12.1290389074185,2.8561702663309,17.9966029005875
2020-04-23,"0-18 to 0-18",2.55319293553032,-12.5260299323117,2.57744105455732,17.8497210594397
2020-04-24,"0-18 to 0-18",2.66636057566635,-12.5009179904562,2.66719784276971,17.8285145734127
2020-04-25,"0-18 to 0-18",2.62316195712393,-12.597488149858,2.56355373626782,17.7002043620164
2020-04-26,"0-18 to 0-18",2.61867500638968,-12.5879265387212,2.78826638213691,17.357791998701
2020-04-27,"0-18 to 0-18",2.58781195988202,-12.4227445986929,2.58488577624085,17.8364358329111
2020-04-28,"0-18 to 0-18",2.64755344306793,-12.4828433192571,2.62158315713842,17.8001882865337
2020-04-29,"0-18 to 0-18",2.64995243774418,-12.3807590473782,2.63588395424655,17.721846492261
2020-04-30,"0-18 to 0-18",2.60936299525383,-12.3711827383701,2.69259870805922,17.6556901600064
2020-05-01,"0-18 to 0-18",2.60074606543609,-12.6368570860229,2.60167524570749,17.639487054908
2020-05-02,"0-18 to 0-18",2.64523956609222,-12.4943123626863,2.67202955487064,17.6529882735053
2020-05-03,"0-18 to 0-18",2.62678971783183,-12.4019739301939,2.65290901730343,17.9155481440201
2020-05-04,"0-18 to 0-18",2.64083999672927,-12.6717203863128,2.6783131502251,17.4497561717022
2020-05-05,"0-18 to 0-18",2.59878698658552,-12.5746310233381,2.65703557057068,17.6331826075452
2020-05-06,"0-18 to 0-18",2.6201297441605,-12.4637238280043,2.53629700672431,17.747833126332
2020-05-07,"0-18 to 0-18",2.60149357713686,-12.4574348948654,2.63176269102544,17.6216548126117
2020-05-08,"0-18 to 0-18",2.67803807486681,-12.4320550471795,2.5915994161335,17.6739547559905
