"date","age_groups","mean_contacts","lower_95_ci","median_contacts","upper_95_ci"
2020-03-01,"0-18 to 0-18",6.47751710289131,4.06316603820766,6.4877923745323,8.83467113667101
2020-03-02,"0-18 to 0-18",6.48249560675063,4.12028142822601,6.49059171599762,8.83311288612791
2020-03-03,"0-18 to 0-18",6.48682990848919,4.10294056394365,6.4909140762409,8.84621769356764
2020-03-04,"0-18 to 0-18",6.48662048699733,4.12688310773383,6.4904790480952,8.83902795227852
2020-03-05,"0-18 to 0-18",6.48668805997902,4.08715597196928,6.49849352800578,8.84408494862993
2020-03-06,"0-18 to 0-18",6.47628550930757,4.09075728545763,6.47572664066408,8.8360333712647
2020-03-07,"0-18 to 0-18",6.47843005724314,4.09039659301046,6.48799832227697,8.82750874233172
2020-03-08,"0-18 to 0-18",6.48005624964849,4.10739501783819,6.47103839438734,8.85505291955711
2020-03-09,"0-18 to 0-18",6.4843786519235,4.09687405504821,6.48166871173547,8.87327475509812
2020-03-10,"0-18 to 0-18",1.96781856612367,-0.360666191135262,1.96098089151422,4.31850626447464
2020-03-11,"0-18 to 0-18",0.076947304643659,-2.49398876006126,0.0595925249718866,2.69895970953124
2020-03-12,"0-18 to 0-18",-0.765346990191981,-3.45237547366911,-0.744112627610962,1.92939097514467
2020-03-13,"0-18 to 0-18",-2.20071645264555,-5.38575432046145,-2.18602966246159,0.969386936661177
2020-03-14,"0-18 to 0-18",-3.31876857497405,-6.70421214228565,-3.30440552836273,0.0441812731529318
2020-03-15,"0-18 to 0-18",-3.3174282264411,-6.67800612149515,-3.30528599040166,0.0901928496298688
2020-03-16,"0-18 to 0-18",-5.76775734791731,-9.50621110050632,-5.76299097522035,-1.99112547872832
2020-03-17,"0-18 to 0-18",-5.75767000056175,-9.51902249698832,-5.75275178006471,-1.97244997531154
2020-03-18,"0-18 to 0-18",-5.76642332746186,-9.50661737304541,-5.7520887005277,-1.97625722435623
2020-03-19,"0-18 to 0-18",-5.76524373482795,-9.4997947461503,-5.75520918791503,-1.98992078464554
2020-03-20,"0-18 to 0-18",-5.77046304558192,-9.5105801056973,-5.7762360902401,-1.9764890665238
2020-03-21,"0-18 to 0-18",-5.76621015568232,-9.5437598675952,-5.75875549582933,-1.95309268925616
2020-03-22,"0-18 to 0-18",-5.76711306498343,-9.51908897407493,-5.75534246164378,-1.97302087130919
2020-03-23,"0-18 to 0-18",-5.76908950852134,-9.52921807535825,-5.75884321159061,-2.00512149519566
2020-03-24,"0-18 to 0-18",-8.5786442459866,-12.7806722860102,-8.57847175286383,-4.33739580092325
2020-03-25,"0-18 to 0-18",-8.57817770260712,-12.768053737213,-8.57878966849776,-4.34161944991015
2020-03-26,"0-18 to 0-18",-8.7807166540758,-12.7894231440618,-8.78534306469671,-4.75467783728857
2020-03-27,"0-18 to 0-18",-8.78033833489296,-12.752905993707,-8.78366559821347,-4.78138886313631
2020-03-28,"0-18 to 0-18",-8.77545772844556,-12.7312520534905,-8.76607613298536,-4.75839838286342
2020-03-29,"0-18 to 0-18",-8.77699494634715,-12.7597284403009,-8.77639606638638,-4.75314266252012
2020-03-30,"0-18 to 0-18",-8.7801445620737,-12.7539126549204,-8.77617898556984,-4.81360284284634
2020-03-31,"0-18 to 0-18",-8.78032275470235,-12.7885395585884,-8.76180834188003,-4.77172556047216
2020-04-01,"0-18 to 0-18",-8.78053205815306,-12.7860872816786,-8.77374447131327,-4.76071439638771
2020-04-02,"0-18 to 0-18",-8.77678971210461,-12.7553834772428,-8.78516721579601,-4.77928647073041
2020-04-03,"0-18 to 0-18",-8.78366005445916,-12.7671519706953,-8.77375560303469,-4.79209250429226
2020-04-04,"0-18 to 0-18",-8.78206287577184,-12.7774433536064,-8.78501486407434,-4.74056497215423
2020-04-05,"0-18 to 0-18",-8.78093940030423,-12.7674437460839,-8.75874985752399,-4.80577757805636
2020-04-06,"0-18 to 0-18",-8.7838461382478,-12.7535837749202,-8.7740350087591,-4.76879347519286
