part_id,sday_id,dayofweek,month,year,day,wave
10797801,2020.12.21,1,12,2020,21,1
10797901,2020.12.21,1,12,2020,21,1
10798001,2020.12.21,1,12,2020,21,1
10798101,2020.12.21,1,12,2020,21,1
10798201,2020.12.21,1,12,2020,21,1
10798301,2020.12.21,1,12,2020,21,1
10798401,2020.12.21,1,12,2020,21,1
10798501,2020.12.21,1,12,2020,21,1
10798601,2020.12.21,1,12,2020,21,1
10798701,2020.12.21,1,12,2020,21,1
10798801,2020.12.21,1,12,2020,21,1
10798901,2020.12.21,1,12,2020,21,1
10799001,2020.12.21,1,12,2020,21,1
10799101,2020.12.21,1,12,2020,21,1
10799201,2020.12.21,1,12,2020,21,1
10799301,2020.12.21,1,12,2020,21,1
10799401,2020.12.21,1,12,2020,21,1
10799501,2020.12.22,2,12,2020,22,1
10799601,2020.12.21,1,12,2020,21,1
10799701,2020.12.21,1,12,2020,21,1
10799801,2020.12.22,2,12,2020,22,1
10799901,2020.12.21,1,12,2020,21,1
10800001,2020.12.21,1,12,2020,21,1
10800101,2020.12.21,1,12,2020,21,1
10800201,2020.12.21,1,12,2020,21,1
10800301,2020.12.21,1,12,2020,21,1
10800401,2020.12.21,1,12,2020,21,1
10800501,2020.12.21,1,12,2020,21,1
10800601,2020.12.21,1,12,2020,21,1
10800701,2020.12.21,1,12,2020,21,1
10800801,2020.12.21,1,12,2020,21,1
10800901,2020.12.21,1,12,2020,21,1
10801001,2020.12.21,1,12,2020,21,1
10801101,2020.12.21,1,12,2020,21,1
10801201,2020.12.21,1,12,2020,21,1
10801301,2020.12.21,1,12,2020,21,1
10801401,2020.12.21,1,12,2020,21,1
10801501,2020.12.21,1,12,2020,21,1
10801601,2020.12.21,1,12,2020,21,1
10801701,2020.12.21,1,12,2020,21,1
10801801,2020.12.21,1,12,2020,21,1
10801901,2020.12.21,1,12,2020,21,1
10802001,2020.12.21,1,12,2020,21,1
10802101,2020.12.21,1,12,2020,21,1
10802201,2020.12.21,1,12,2020,21,1
10802301,2020.12.21,1,12,2020,21,1
10802401,2020.12.21,1,12,2020,21,1
10802501,2020.12.21,1,12,2020,21,1
10802601,2020.12.21,1,12,2020,21,1
10802701,2020.12.21,1,12,2020,21,1
10802801,2020.12.21,1,12,2020,21,1
10802901,2020.12.21,1,12,2020,21,1
10803001,2020.12.21,1,12,2020,21,1
10803101,2020.12.21,1,12,2020,21,1
10803201,2020.12.22,2,12,2020,22,1
10803301,2020.12.21,1,12,2020,21,1
10803401,2020.12.21,1,12,2020,21,1
10803501,2020.12.21,1,12,2020,21,1
10803601,2020.12.21,1,12,2020,21,1
10803701,2020.12.21,1,12,2020,21,1
10803801,2020.12.21,1,12,2020,21,1
10803901,2020.12.21,1,12,2020,21,1
10804001,2020.12.21,1,12,2020,21,1
10804101,2020.12.21,1,12,2020,21,1
10804201,2020.12.21,1,12,2020,21,1
10804301,2020.12.22,2,12,2020,22,1
10804401,2020.12.21,1,12,2020,21,1
10804501,2020.12.21,1,12,2020,21,1
10804601,2020.12.21,1,12,2020,21,1
10804701,2020.12.21,1,12,2020,21,1
10804801,2020.12.21,1,12,2020,21,1
10804901,2020.12.21,1,12,2020,21,1
10805001,2020.12.21,1,12,2020,21,1
10805101,2020.12.21,1,12,2020,21,1
10805201,2020.12.21,1,12,2020,21,1
10805301,2020.12.21,1,12,2020,21,1
10805401,2020.12.21,1,12,2020,21,1
10805501,2020.12.21,1,12,2020,21,1
10805601,2020.12.21,1,12,2020,21,1
10805701,2020.12.21,1,12,2020,21,1
10805801,2020.12.21,1,12,2020,21,1
10805901,2020.12.21,1,12,2020,21,1
10806001,2020.12.21,1,12,2020,21,1
10806101,2020.12.21,1,12,2020,21,1
10806201,2020.12.21,1,12,2020,21,1
10806301,2020.12.21,1,12,2020,21,1
10806401,2020.12.21,1,12,2020,21,1
10806501,2020.12.21,1,12,2020,21,1
