,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
m1,1.6823,1.1172,0.6223,0.7345,2.3414,2.6083,1.7641,1.3206,1.0007,1.3536,1.5717,0.9446,0.8483,0.7277,0.6783,0.9562
m2,1.509,0.8109,0.599,0.3216,1.6996,2.1176,1.8352,0.6086,0.9632,1.4082,1.8547,1.0821,0.3714,0.3354,0.7771,0.6307
m3,1.4866,1.0503,1.6751,0.3903,2.2011,2.8174,2.259,1.2811,2.6937,1.7334,1.8804,1.0005,0.4508,0.7059,0.7185,0.6569
m4,2.1155,0.828,0.5865,0.5483,1.7353,2.2613,1.4707,1.2832,0.9432,1.1285,1.3834,0.8691,0.6332,0.7071,0.6241,1.2191
m5,2.7154,1.0402,0.6354,0.576,2.1801,1.7189,1.1986,0.9691,1.0217,0.9197,1.0963,0.9416,0.6652,0.534,0.6762,1.0935
m6,2.1025,1.1138,0.5931,0.5906,2.3343,2.592,1.9984,1.8494,0.9538,1.5334,1.8132,1.0928,0.6821,1.0191,0.7848,1.448
m7,2.0731,0.7659,0.7543,0.569,1.6051,1.192,1.1467,0.4006,1.213,0.8798,1.4252,1.2152,0.6571,0.2207,0.8727,0.7021
