,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
m1,1.981,0.9603,0.8954,0.2775,1.6951,2.3942,1.7687,1.0297,1.1732,1.3128,1.3331,1.0363,0.2689,0.5653,0.7664,0.9569
m2,2.0938,0.8858,0.8517,0.2815,1.5635,1.865,1.5902,0.6891,1.1159,1.1804,1.6627,0.8671,0.2728,0.3783,0.6413,0.8724
m3,3.7215,1.1558,0.978,0.3492,2.0401,1.1284,0.9291,0.3296,1.2814,0.6896,1.0143,0.5598,0.3385,0.181,0.414,0.7975
m4,3.7236,0.8151,0.6535,0.1947,1.4388,1.3897,1.0758,0.5936,0.8563,0.7985,1.0734,0.6188,0.1887,0.3259,0.4577,0.9153
m5,3.6036,0.9297,1.0439,0.2448,1.6411,1.9197,1.5202,0.634,1.3678,1.1284,1.5131,0.772,0.2373,0.3481,0.571,1.0511
m6,3.795,1.1142,0.7749,0.31,1.9667,1.8545,1.4211,0.5401,1.0153,1.0549,1.3975,0.6608,0.3004,0.2965,0.4887,0.9052
m7,6.2429,0.9966,1.0926,0.2369,1.7591,1.0672,1.0179,0.3539,1.4315,0.7556,1.2156,0.6404,0.2296,0.1943,0.4737,0.8471
