,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
m1,3.2631,0.3517,0.1958,0.0856,0.7358,0.6438,0.4658,0.4699,0.3184,0.3622,0.2406,0.1552,0.1002,0.2629,0.1117,0.1246
m2,3.4378,0.3521,0.1877,0.1316,0.7366,0.6783,0.3547,0.3137,0.3054,0.2758,0.2685,0.1841,0.154,0.1755,0.1325,0.3361
m3,2.4842,0.529,0.4018,0.2899,1.1066,3.4086,2.2606,1.2999,0.6536,1.7576,1.4012,0.8412,0.3393,0.7273,0.6054,1.0811
m4,9.8533,1.4605,0.9721,0.5591,3.0554,2.7891,2.4266,2.9686,1.5811,1.8866,2.3439,2.2419,0.6544,1.661,1.6135,1.454
m5,13.8681,2.1255,1.0906,0.7485,4.4465,4.7715,2.5207,2.098,1.7738,1.9598,1.5548,1.1328,0.8762,1.1739,0.8152,0.7427
m6,10.7464,1.5868,0.9916,0.638,3.3196,3.2609,2.1505,1.1087,1.6127,1.6719,1.3244,0.9284,0.7468,0.6203,0.6682,0.8099
m7,9.7401,3.9767,3.1397,1.4896,8.319,13.5369,11.5303,6.5203,5.1065,8.9645,9.7482,7.2381,1.7436,3.6483,5.2091,5.1253
