,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
m1,2.3906,0.5165,0.4702,0.0731,1.1726,0.6172,1.1643,0.1278,0.7371,0.8039,1.2154,0.1415,0.0804,0.062,0.0993,0.0954
m2,2.6032,0.4491,0.3709,0.0841,1.0198,0.8453,0.5496,0.2631,0.5815,0.3795,0.3354,0.193,0.0926,0.1275,0.1355,0.1682
m3,2.455,0.7242,0.3849,0.1837,1.6442,0.9535,0.7236,0.397,0.6034,0.4996,0.4852,0.2993,0.2022,0.1924,0.2101,0.388
m4,5.5827,1.0408,0.7822,0.3788,2.3632,0.9389,0.8114,0.3617,1.2262,0.5602,0.4642,0.2096,0.4168,0.1753,0.1472,0.2838
m5,7.8246,1.128,0.9095,0.649,2.5611,1.4696,1.3724,0.735,1.4257,0.9476,0.8864,1.1285,0.7142,0.3562,0.7922,0.4282
m6,4.2874,1.2729,0.8125,0.4098,2.89,2.5819,1.8864,1.417,1.2738,1.3025,1.4377,0.9937,0.451,0.6868,0.6976,1.4325
m7,4.8137,2.4699,2.2892,0.6056,5.6077,10.0958,8.9917,6.7399,3.5888,6.2084,7.0614,4.4729,0.6664,3.2668,3.1399,4.1625
